,state,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,customer_service_calls,churn,total_charge
0,KS,128,0,1,25,265.1,110,197.4,99,244.7,91,10.0,3,1,0,75.56
1,OH,107,0,1,26,161.6,123,195.5,103,254.4,103,13.7,3,1,0,59.24000000000001
2,NJ,137,0,0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,0,62.290000000000006
3,OH,84,1,0,0,299.4,71,61.9,88,196.9,89,6.6,7,2,0,66.8
4,OK,75,1,0,0,166.7,113,148.3,122,186.9,121,10.1,3,3,0,52.089999999999996
5,AL,118,1,0,0,223.4,98,220.6,101,203.9,118,6.3,6,0,0,67.61
6,MA,121,0,1,24,218.2,88,348.5,108,212.6,118,7.5,7,3,0,78.31
7,MO,147,1,0,0,157.0,79,103.1,94,211.8,96,7.1,6,0,0,46.900000000000006
8,LA,117,0,0,0,184.5,97,351.6,80,215.8,90,8.7,4,1,0,73.32
9,WV,141,1,1,37,258.6,84,222.0,111,326.4,97,11.2,5,0,0,80.53999999999999
10,IN,65,0,0,0,129.1,137,228.5,83,208.8,111,12.7,6,4,1,54.2
11,RI,74,0,0,0,187.7,127,163.4,148,196.0,94,9.1,5,0,0,57.08
12,IA,168,0,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,0,40.190000000000005
13,MT,95,0,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,0,59.64
14,IA,62,0,0,0,120.7,70,307.2,76,203.0,99,13.1,6,4,0,59.309999999999995
15,NY,161,0,0,0,332.9,67,317.8,97,160.6,128,5.4,9,4,1,92.29
16,ID,85,0,1,27,196.4,139,280.9,90,89.3,75,13.8,4,1,0,65.02
17,VT,93,0,0,0,190.7,114,218.2,111,129.6,121,8.1,3,3,0,58.989999999999995
18,VA,76,0,1,33,189.7,66,212.8,65,165.7,108,10.0,5,1,0,60.50000000000001
19,TX,73,0,0,0,224.4,90,159.5,88,192.8,74,13.0,2,1,0,63.9
20,FL,147,0,0,0,155.1,117,239.7,93,208.8,133,10.6,4,0,0,59.0
21,CO,77,0,0,0,62.4,89,169.9,121,209.6,64,5.7,6,5,1,36.019999999999996
22,AZ,130,0,0,0,183.0,112,72.9,99,181.8,78,9.5,19,0,0,48.06
23,SC,111,0,0,0,110.4,103,137.3,102,189.6,105,7.7,6,2,0,41.05
24,VA,132,0,0,0,81.1,86,245.2,72,237.0,115,10.3,2,0,0,48.08
25,NE,174,0,0,0,124.3,76,277.1,112,250.7,115,15.5,5,3,0,60.15
26,WY,57,0,1,39,213.0,115,191.1,112,182.7,115,9.5,3,0,0,63.24
27,MT,54,0,0,0,134.3,73,155.5,100,102.1,68,14.7,4,3,0,44.61
28,MO,20,0,0,0,190.0,109,258.2,84,181.5,102,6.3,6,0,0,64.12
29,HI,49,0,0,0,119.3,117,215.1,109,178.7,90,11.1,1,1,0,49.6
30,IL,142,0,0,0,84.8,95,136.7,63,250.5,148,14.2,6,2,0,41.14
31,NH,75,0,0,0,226.1,105,201.5,107,246.2,98,10.3,5,1,0,69.42999999999999
32,LA,172,0,0,0,212.0,121,31.2,115,293.3,78,12.6,10,3,0,55.29
33,AZ,12,0,0,0,249.6,118,252.4,119,280.2,90,11.8,3,1,1,79.67999999999999
34,OK,57,0,1,25,176.8,94,195.0,75,213.5,116,8.3,4,0,0,58.49
35,GA,72,0,1,37,220.0,80,217.3,102,152.8,71,14.7,6,3,0,66.72
36,AK,36,0,1,30,146.3,128,162.5,80,129.3,109,14.5,6,0,0,48.42
37,MA,78,0,0,0,130.8,64,223.7,116,227.8,108,10.0,5,1,0,54.2
38,AK,136,1,1,33,203.9,106,187.6,99,101.7,107,10.5,6,3,0,58.03
39,NJ,149,0,0,0,140.4,94,271.8,92,188.3,108,11.1,9,1,0,58.44
40,GA,98,0,0,0,126.3,102,166.8,85,187.8,135,9.4,2,3,0,46.63999999999999
41,MD,135,1,1,41,173.1,85,203.9,107,122.2,78,14.6,15,0,1,56.199999999999996
42,AR,34,0,0,0,124.8,82,282.2,98,311.5,78,10.0,4,2,0,61.92999999999999
43,ID,160,0,0,0,85.8,77,165.3,110,178.5,92,9.2,4,3,0,39.15
44,WI,64,0,0,0,154.0,67,225.8,118,265.3,86,3.5,3,1,0,58.260000000000005
45,OR,59,0,1,28,120.9,97,213.0,92,163.1,116,8.5,5,2,0,48.3
46,MI,65,0,0,0,211.3,120,162.6,122,134.7,118,13.2,5,3,0,59.36000000000001
47,DE,142,0,0,0,187.0,133,134.6,74,242.2,127,7.4,5,2,0,56.129999999999995
48,ID,119,0,0,0,159.1,114,231.3,117,143.2,91,8.8,3,5,1,55.53
49,WY,97,0,1,24,133.2,135,217.2,58,70.6,79,11.0,3,1,0,47.25
50,IA,52,0,0,0,191.9,108,269.8,96,236.8,87,7.8,5,3,0,68.32
51,IN,60,0,0,0,220.6,57,211.1,115,249.0,129,6.8,3,1,0,68.49000000000001
52,VA,10,0,0,0,186.1,112,190.2,66,282.8,57,11.4,6,2,0,63.620000000000005
53,UT,96,0,0,0,160.2,117,267.5,67,228.5,68,9.3,5,2,0,62.76
54,WY,87,0,0,0,151.0,83,219.7,116,203.9,127,9.7,3,5,1,56.14
